Relevância;UF;Município;Órgão;CNPJ;Objeto;Modalidade;Modo Disputa;Valor Estimado;Valor Homologado;SRP;Situação;Data Publicação;Data Abertura;Data Encerramento;Keywords;Link PNCP;Link Sistema;ID PNCP
85;SP;Jaguariúna;CAMARA MUNICIPAL DE JAGUARIUNA;5,1314E+13;Contratação de serviços especializados em atendimentos médicos - Medicina do Trabalho – ASO – Atestado de Saúde Ocupacional e Elaboração de Programas Ocupacionais.;Dispensa;Não se aplica;44273.84;;Não;Divulgada no PNCP;09/04/2026;;;saúde ocupacional, medicina do trabalho, atestado de saúde ocupacional, aso;https://pncp.gov.br/app/editais/51313955000130-1-000036/2025;;51313955000130-1-000036/2025
80;MG;Juiz de Fora;AGENCIA DE COOPERACAO INTERMUNICIPAL EM SAUDE PE DA SERRA - ACISPES;1,20349E+12;CONTRATAÇÃO DE EMPRESA PRESTADORA DE SERVIÇOS ESPECIALIZADOS DE MEDICINA DO TRABALHO E SAÚDE OCUPACIONAL, JUNTO AOS SETORES DE RECURSOS HUMANOS E DEPARTAMENTO DE PESSOAL DA AGÊNCIA DE COOPERAÇÃO INTERMUNICIPAL EM SAÚDE PÉ DA SERRA – ACISPES.;Pregão - Eletrônico;Aberto;23376.50;;Sim;Divulgada no PNCP;09/04/2026;10/04/2026;28/04/2026;saúde ocupacional, medicina do trabalho;https://pncp.gov.br/app/editais/01203485000183-1-000045/2026;;01203485000183-1-000045/2026
80;MG;Varjão de Minas;MUNICIPIO DE VARJAO DE MINAS;1,60978E+12;Contratação de serviços especializados de engenharia e segurança, medicina do trabalho e saúde ocupacional, para elaboração e implantação de programas, laudos, relatórios e sinalizações indicativas que constituem os serviços especializados em Segurança e Medicina do Trabalho;Pregão - Eletrônico;Aberto;173833.32;;Não;Divulgada no PNCP;09/04/2026;10/04/2026;23/04/2026;saúde ocupacional, medicina do trabalho;https://pncp.gov.br/app/editais/01609780000134-1-000006/2026;https://app2.ammlicita.org.br/pesquisa/96893;01609780000134-1-000006/2026
65;SP;Dois Córregos;SAAEDOCO SERVICO AUTONOMO DE AGUA E ESGOTOS DE DOIS CORREGOS;2,70103E+12;Contratação de empresa especializada visando a execução de serviços especializados em Engenharia de Segurança do Trabalho e Medicina do Trabalho, exigidos pela Legislação Trabalhista vigente e destinados aos servidores da Autarquia SAAEDOCO – Serviço Autônomo de Água e Esgoto de Dois Córregos.;Dispensa;Dispensa Com Disputa;0.00;;Não;Divulgada no PNCP;09/04/2026;10/04/2026;17/04/2026;segurança do trabalho, medicina do trabalho;https://pncp.gov.br/app/editais/02701029000126-1-000011/2026;https://app2.licitardigital.com.br/pesquisa/96887;02701029000126-1-000011/2026
60;MG;Itabirito;SERVICO AUTONOMO DE SANEAMENTO BASICO;2,00671E+13;Registro de Preços para futura e eventual aquisição de Equipamentos de Proteção Individual – EPI e Equipamentos de Proteção Coletiva – EPC e dispositivos de sinalização em atendimento às demandas do Serviço Autônomo de Saneamento Básico do Município de Itabirito-MG;Pregão - Eletrônico;Aberto;455824.63;;Sim;Divulgada no PNCP;09/04/2026;09/04/2026;27/04/2026;epi, epc;https://pncp.gov.br/app/editais/20067146000161-1-000013/2026;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92879005900012026;20067146000161-1-000013/2026
60;GO;Santo Antônio da Barra;MUNICIPIO DE SANTO ANTONIO DA BARRA;3,72758E+13;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE SEGURANÇA E MEDICINA DO TRABALHO (SESMT) DESTINADOS AO ATENDIMENTO DAS NECESSIDADES DA SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO;Dispensa;Não se aplica;51593.28;;Não;Divulgada no PNCP;09/04/2026;;;medicina do trabalho, sesmt;https://pncp.gov.br/app/editais/37275823000130-1-000051/2026;;37275823000130-1-000051/2026
60;GO;Santo Antônio da Barra;MUNICIPIO DE SANTO ANTONIO DA BARRA;3,72758E+13;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE SEGURANÇA E MEDICINA DO TRABALHO (SESMT) DESTINADOS AO ATENDIMENTO DAS NECESSIDADES DA SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO;Dispensa;Não se aplica;51593.28;48879.96;Não;Divulgada no PNCP;02/04/2026;;;medicina do trabalho, sesmt;https://pncp.gov.br/app/editais/37275823000130-1-000048/2026;;37275823000130-1-000048/2026
50;GO;Ipameri;CAMARA DE VEREADORES DE IPAMERI;3,68271E+13;CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS EM SAÚDE E SEGURANÇA DO TRABALHO, INCLUINDO ELABORAÇÃO E GESTÃO DE PROGRAMAS, LAUDOS TÉCNICOS E ENVIO DE INFORMAÇÕES AO ESOCIAL, EM ATENDIMENTO AS NECESSIDADES DA CÂMARA MUNICIPAL DE IPAMERI/GO;Inexigibilidade;Não se aplica;34000.00;34000.00;Não;Divulgada no PNCP;06/04/2026;;;segurança do trabalho, saúde e segurança;https://pncp.gov.br/app/editais/36827103000177-1-000034/2026;;36827103000177-1-000034/2026
45;MG;Sete Lagoas;SERVICO AUTONOMO DE AGUA ESGOTO E SANEAMENTO URBANO;2,49968E+13;SRP para futura e eventual aquisição de EPIS (Botinas), conforme ETP e termo de referência em anexo aos autos. DID nº 238/2026;Pregão - Eletrônico;Aberto-Fechado;116800.00;;Sim;Divulgada no PNCP;09/04/2026;10/04/2026;29/04/2026;epi;https://pncp.gov.br/app/editais/24996845000147-1-000047/2026;https://app2.licitardigital.com.br/pesquisa/97002;24996845000147-1-000047/2026
35;MG;São Miguel do Anta;MUNICIPIO DE SAO MIGUEL DO ANTA;1,81339E+13;[Portal de Compras Públicas] - REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE MATERIAIS, EQUIPAMENTOS, FERRAMENTAS E EPI PARA CONSTRUÇÃO, MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS, COM BASE NA TABELA SINAPI/MG.;Pregão - Eletrônico;Aberto;2209950.00;;Sim;Divulgada no PNCP;09/04/2026;10/04/2026;28/04/2026;epi;https://pncp.gov.br/app/editais/18133926000110-1-000018/2026;https://www.portaldecompraspublicas.com.br/processos/MG/Prefeitura-Municipal-de-Sao-Miguel-do-Anta-3482/RPEM-009-2026-2026-471335;18133926000110-1-000018/2026
35;GO;Campinaçu;MUNICIPIO DE CAMPINACU;1,45789E+11;AQUISIÇÃO DE PEÇAS PARA MANUTENÇÃO DE MAQUINAS PESADAS, TAIS COMO MOTONIVELADORA XCMG GR180, CAMINHÃO VW 12-170, MOTONIVELADORA CAT 120K.;Dispensa;Dispensa Com Disputa;6560.00;6560.00;Não;Divulgada no PNCP;09/04/2026;01/04/2026;01/04/2026;cat;https://pncp.gov.br/app/editais/00145789000179-1-000107/2026;;00145789000179-1-000107/2026
35;SP;Botucatu;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;4,80319E+13;Contratação de serviço de treinamento e capacitação da NR-35, voltado para atividades em altura, para funcionários recém contratados e funcionários que precisam de atualização.;Dispensa;Não se aplica;4432.00;4432.00;Não;Divulgada no PNCP;02/04/2026;;;nr-35;https://pncp.gov.br/app/editais/48031918000124-1-000611/2026;;48031918000124-1-000611/2026
35;SP;São Paulo;TRIBUNAL SUPERIOR DO TRABALHO;5,09968E+11;Contratação da palestrante Bruna Carolina de Quadros para palestras no Curso: Riscos Psicossociais na Justiça do Trabalho - Fundamentos, Prova e Decisão, e Produção de Conteúdo e Tutoria para o Curso EAD: ADOECIMENTO OCUPACIONAL E GERENCIAMENTO DE RISCOS PSICOSSOCIAIS NO PGR;Inexigibilidade;Não se aplica;13680.00;13680.00;Não;Divulgada no PNCP;06/04/2026;;;pgr;https://pncp.gov.br/app/editais/00509968000148-1-000894/2026;;00509968000148-1-000894/2026
30;MG;Bonfinópolis de Minas;MUNICIPIO DE BONFINOPOLIS DE MINAS;1,81251E+13;REGISTRO DE PREÇOS PARA EVENTUAL E FUTURA AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL – EPI'S PARA ATENDER AS NECESSIDADES DAS DIVERSAS SECRETARIAS DO MUNICÍPIO BONFINÓPOLIS DE MINAS;Pregão - Eletrônico;Aberto;694945.40;281612.70;Sim;Divulgada no PNCP;09/04/2026;24/10/2025;11/11/2025;epi;https://pncp.gov.br/app/editais/18125138000182-1-000022/2025;https://bnccompras.com/Process/ProcessView?param1=[gkz]XR6_TZ3l46vql6ikfkPZXywPNLjwiGjCtSp/Ef8G7CxD2PLPKXQEoCDrge6Y7SHA91V0j93K_YdfDDB3UXBufBuWvPxVwTZVDEZoCUizL6E=;18125138000182-1-000022/2025
30;SP;Tarumã;MUNICIPIO DE TARUMA;6,46144E+13;Contratação de empresa especializada para a execução de serviços de recapeamento asfáltico em vias públicas urbanas do Município de Tarumã/SP (Mapa de Riscos);Concorrência - Eletrônica;Aberto-Fechado;183748.59;;Não;Divulgada no PNCP;06/04/2026;06/04/2026;24/04/2026;mapa de risco;https://pncp.gov.br/app/editais/64614449000122-1-000013/2026;https://app2.licitardigital.com.br/pesquisa/96454;64614449000122-1-000013/2026
30;SP;Pindamonhangaba;SECRETARIA DE ESTADO DOS TRANSPORTES METROPOLITANOS;6,68587E+13;Contratação de Serviço Técnico de Engenharia para elaboração de laudo técnico de inspeção de Obras de Arte especiais (Ponte e Viadutos);Concorrência - Eletrônica;Aberto;212399.15;;Não;Divulgada no PNCP;07/04/2026;07/04/2026;24/04/2026;laudo técnico;https://pncp.gov.br/app/editais/66858689000106-1-000005/2026;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=99017703900012026;66858689000106-1-000005/2026
25;SP;Jundiaí;FACULDADE DE MEDICINA DE JUNDIAI;5,09853E+13;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ELABORAÇÃO DE LAUDO TÉCNICO DE AVALIAÇÃO DE 02 (DOIS) LOTES URBANOS PRÓXIMOS À FACULDADE DE MEDICINA DE JUNDIAÍ;Inexigibilidade;Não se aplica;6875.00;6875.00;Não;Divulgada no PNCP;09/04/2026;;;laudo técnico;https://pncp.gov.br/app/editais/50985266000109-1-000030/2026;https://compraaberta.jundiai.sp.gov.br/licitacoes/;50985266000109-1-000030/2026
